id,is_laugh
rfdjcfsqq,0.45853428867104273
tsgqmfpef,0.4144633321749598
owjcthkz2,0.41618871757523895
rvgaocjyy,0.38841659559652736
uxtwu5i69,0.7830637642372476
obakrevy2,0.44580837727069306
ufysgofeg,0.6093725493889791
owbo0cjz8,0.6087774414954048
gnjxzlvgb,0.4571071506415793
fbfb83wbu,0.7191400825784253
m8vrg4kvc,0.4981104268898454
t69mmmvst,0.6833135726131938
ulzx4ghj6,0.6249239110085664
gx35spy3j,0.39331738602184074
9fwih2taf,0.46513173050049905
sidpzsisx,0.5413725633324232
3ann0fdx1,0.41007366966027725
sfujns9rr,0.4017008161459731
1ngqnkllc,0.33022948264860363
kaofmroja,0.3239331129933357
qxt2taykk,0.44141327077566156
5amuruxbp,0.3273833120086893
a3ugm9hfq,0.29058115330530254
mc6bur4x9,0.445938146990116
eh3ptagjw,0.3542913328392556
fqg6xuosa,0.402154669580932
khrammagz,0.33434623120266366
fkxgihn9v,0.4023771070689246
gz2svzmhm,0.6464233259100877
s0wibeuge,0.41541376577249095
47wjy0eln,0.3505741592712048
gplq76qnf,0.4650590869258082
zewwvpdoi,0.7447353522232081
s9kffulza,0.7239889179571652
mefjs6av9,0.5535543847341456
iod7bk8wv,0.7527249664926933
lw5za88fy,0.6806657330877935
zdnm1gsbr,0.47291335699760684
7rn14dqc5,0.37647635322549433
jgh7zghsu,0.3318709679799473
3fn2cbmck,0.5377581450572456
8z9yt1qg1,0.46295180610660813
jnfsrpvyp,0.4066562982354728
n5ck8mvov,0.584359714619803
v1nlp4yue,0.37736846613667147
y0ytszwbz,0.38031848818715286
896tkhmiu,0.6626695759822655
ggmyvs3we,0.45083487030915764
cnqhq1qmz,0.331572293072374
orczju1hi,0.5154266305921846
gy2bzmucs,0.6224570325512191
0z2noehez,0.4090723346851859
jxxnnssjk,0.48134021872751437
sy8giuwtv,0.5385648395601934
uvgnqnel9,0.5576773266009997
fapp6ih6m,0.634208719596807
b2c6k843g,0.5296443650383831
ojpz1wngc,0.3070940852332106
7bg0k9mq0,0.49431682805824645
rm58i1db6,0.5006896702111608
n7anajnhz,0.4809616364811113
ipb2mpmg4,0.3735983436384322
673j84ob7,0.41387604027433494
hjntbi8f3,0.49495816637630663
dgem2isnj,0.42511581359454775
c8lwgpnwm,0.34326884152549153
sbtomjzgz,0.2912388123404057
qnlnkdymr,0.5545669112065275
ebqxfu7id,0.6995553973116821
stk3ctlxp,0.6743973683551245
wlf2sbkqp,0.3808454415296136
hbyqyasiw,0.33368120028923914
hggxvdgbh,0.37053875249389784
wfseocihg,0.4567196395432202
0d8rb2zs5,0.5441043327264243
hwj1tixw6,0.30191383175110537
qubqui1ru,0.719811666255509
et19vepal,0.4757940971595577
hllf53g31,0.26582416882071636
jge6ykrr8,0.6561649971855381
cjelb3exo,0.5642649212655831
3gl7s1p9x,0.7465646713680631
vh7dil0e4,0.4555041025605743
kicoltvbv,0.5297598282950684
tuhpunei8,0.6627398977420401
pxyamxf3a,0.45196041570981127
kr8iht5yt,0.37006986141809717
pdmxywhyk,0.404978460333673
olp7tvidk,0.40702285592354376
hdlkmr1uu,0.534228490102734
jmvgz1k1y,0.407089095980676
bqh11vyxe,0.5157101539918293
z3osw03en,0.5466288258932781
0lhr7oyjs,0.6542666732566305
zmgtx6qsd,0.734506323479749
edsfrvpaw,0.5057676745568271
rrmfo6abf,0.44204298720135726
izk9cuqo4,0.6078258350797754
keudcukm3,0.2807770455587968
qoz7izazb,0.43421306875225957
qojxheml7,0.577969491255542
opkvjmi6b,0.6783385839370883
6ca4gfefq,0.5380844429283156
2um0ji4u3,0.5603019477449012
jzcvr49db,0.7022870403760574
mnnr6qc05,0.6486698631314838
fwsdshocq,0.4075937108121444
ghws0cd9b,0.7191064935734299
jipnrmzdb,0.4861559903755714
jtrpli5fr,0.7019307804822601
dpirw75s4,0.6154396265546432
figczgft9,0.5590922014638796
yfdsgue73,0.5178948579805432
kx0jlxwd6,0.4409410185279584
djmzmy1h1,0.37897002982356454
r1nxs7vqd,0.513583986083486
amzsmnvuo,0.4052237333153591
8pxr2kfmn,0.5047051710911017
futlmcuxp,0.4924250438019844
wrtahtef8,0.36386999999017644
e7ka6ycro,0.6604672641949898
g0vuysnp6,0.4631080914639134
kynddzsn7,0.5010004694181144
hxbumorux,0.3939902438276517
eailyfhg2,0.5022005099030851
ajxbosyqn,0.6069851069323394
n1plptxfv,0.4871612378427651
bcs7lxivz,0.5408269634493996
cabzwhjyo,0.7332002846454247
infjyiksf,0.7451669975122914
lgt2xkxmz,0.6201373773087943
unygwlice,0.4332303126993597
84xqcwijm,0.5422045875695347
tgfjmhlas,0.6512111197556864
xvsvwryh2,0.6532607875059322
e7ozh5stk,0.7531321279543763
izkdb7j2d,0.5260068735498594
phjnfqe3w,0.5493685499861998
7tpxfphkh,0.7260697339114975
x1em3pjl8,0.48973857549906996
dn2j2prsi,0.762122633147759
obnosi2w7,0.33707279952029934
i7typ7hkh,0.6457507897654529
vmrrfqrw6,0.6159713134520357
j7sfvzjie,0.44179131996420484
iufqtkdur,0.6333395592149018
c0kcfenv7,0.6682525205185519
s1rgfgvxw,0.48444045136223624
u1wgcwc0g,0.41363157900548114
kqrfkhzf6,0.5872563653416557
xf3oi1z15,0.3181976364522465
dlwattumm,0.7669436221811272
h1kyhyt57,0.36335793286891066
ebyhl1cuz,0.5287425812467781
l5noahe7l,0.38882995148010857
dnw4oj0pg,0.5204633419531521
csaaj8jkn,0.3559848115117565
yj6yutxnp,0.3935886465197528
gd4lz2jjo,0.3932402011134508
33ysqo7lg,0.3482191245240639
fonju8klo,0.5195533177514646
2y6ecmvbv,0.3373706341497816
pot3bzbjf,0.4471804577298569
c0jaycpqu,0.6177753741435241
eavu0pcse,0.48651625731703246
kxibcvnbi,0.5862256238524821
mix36mdtm,0.4111137698969116
n7ytaa3cg,0.6952866642411277
iqzh0ho2f,0.4375012120174798
hrjwghfyc,0.7316851783967847
gngcpsddc,0.4809727709210936
vjb41ukxi,0.6472160717474323
jrr3qvaj7,0.5854086885947763
pa96jsr52,0.5930159558850279
44qmalzw9,0.3239708419835471
l26dybngl,0.5301868731928789
0n0kzfoug,0.31642873770690055
395pdyfiq,0.799971682917772
vm9e5rjkr,0.7931434153017055
onq29lio9,0.46983410740063136
kpgvy7qjn,0.37460653471387817
tzw8cvb0d,0.4937247007994783
cxutxdcqs,0.5644777239578704
xxjbg8jzi,0.5909630019710699
hsv70fh4q,0.5618667677864511
losvqpvfn,0.4331813160496293
kulr4fkao,0.5798516192418437
ilplcbz4s,0.31118976889471006
qdmlg6yie,0.4859326922818883
v0d9rppe8,0.3787044033313424
ssjvi3yph,0.640111115418298
8fj9oh3ax,0.4710989116799582
xhi22clmb,0.5717208683738174
y5u84c4e1,0.42292934526389087
3zdmr8pa0,0.336220018061833
ohinczq5g,0.5348937528098119
b43vvxxq2,0.4800655787764221
skcnlguvc,0.4867545616570371
cjapogdpk,0.5499084773698706
ml9yq32sz,0.5389312433917334
ovrpt94d6,0.4851328844895998
rzbxxcx6l,0.35699598808743416
4mytzj67o,0.474801706979274
o24uubjok,0.5526008178944314
hqkg4ynyg,0.6785690113523528
7dwkjg7cs,0.5366446612211485
91yk7glnv,0.386566859243494
unvzm4p9r,0.6257346944572013
